id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
118069,Luxury 1 Bedroom - 1.5 Bath,530261,Luciano,,Palermo,-34.57978,-58.43223,Entire home/apt,3592,7,18,2021-05-02,0.18,26,365
118070,Amazing view - GREAT Studio - Balcony,530261,Luciano,,Palermo,-34.58311,-58.42767,Entire home/apt,2886,7,44,2020-12-31,0.37,26,333
118724,Department to 5 min to city centre,599519,Angel Francisco,,Almagro,-34.60025,-58.42973,Private room,4618,1,0,,,1,365
119036,Amazing duplex in Recoleta,601227,Frederic,,Recoleta,-34.59017,-58.39643,Entire home/apt,3848,5,1,2019-09-16,0.04,1,364
119966,Room with library downtown,62183,Sonia,,Balvanera,-34.60396,-58.40068,Private room,3506,3,0,,,2,365
120874,Luxury 1 Bedroom - 1.5 Bath,530261,Luciano,,Recoleta,-34.58991,-58.39931,Entire home/apt,9621,7,9,2017-08-26,0.20,26,365
122907,Spotless entire apt. Ideal location,426566,Egle,,Almagro,-34.61982,-58.4166,Entire home/apt,1249,90,20,2014-08-04,0.20,8,365
129442,Callao Studio Design Downtown 2 Pax,638545,Luisa,,San Nicolas,-34.60655,-58.39131,Entire home/apt,4137,90,1,2016-04-01,0.02,3,199
129932,Palermo View Studio at Palermo Uno Tower,319901,Ralf,,Palermo,-34.5813,-58.42488,Entire home/apt,2886,3,113,2020-02-23,0.97,27,365
130248,Small charmy and fully at Palermo,641573,Paula,,Palermo,-34.57717,-58.41138,Entire home/apt,1154,2,78,2021-04-06,0.82,6,236
130275,Van Gogh s apart at Palermo,641573,Paula,,Palermo,-34.5771,-58.41134,Entire home/apt,1154,2,15,2017-06-22,0.16,6,200
130349,"alquilo por noche,o semana",641884,Marcelo,,San Nicolas,-34.60313,-58.37918,Private room,9621,1,0,,,1,365
130424,Palermo Hollywood Studio Apt - 4th floor - 33 m2,642182,Aike,,Palermo,-34.57896,-58.43448,Entire home/apt,3367,7,9,2012-05-01,0.08,1,177
131145,DONDE VIVI (1) Rooms for Rent .,645495,Viviana,,Almagro,-34.60728,-58.41949,Private room,1500,3,38,2015-12-15,0.34,2,364
131807,"Belgrano R, Private Room, Sunny",648231,Vero,,Villa Ortuzar,-34.57546,-58.4688,Private room,3367,1,0,,,1,365
132298,Urban Escape ★ Studio with great views,319901,Ralf,,Recoleta,-34.59495,-58.4044,Entire home/apt,2790,6,113,2019-09-25,1.40,27,365
133043,Great Studio - Roof top Pool,530261,Luciano,,Recoleta,-34.59234,-58.39956,Entire home/apt,1924,14,17,2017-12-11,0.19,26,364
133654,Modern and Comfortable. Central location.Fast WiFi,426566,Egle,,Almagro,-34.62053,-58.41653,Entire home/apt,1249,4,47,2019-08-23,0.41,8,340
136986,Buena Vista - Panorama Riverviews ★★★★★,319901,Ralf,,Palermo,-34.58114,-58.42513,Entire home/apt,5773,3,135,2020-12-18,1.50,27,338
137017,Soho Sunset studio  with amazing views.,319901,Ralf,,Palermo,-34.58277,-58.42539,Entire home/apt,4467,2,193,2021-05-01,1.82,27,360
138690,STUDIO RECOLETA /PZA FRANCIA/UBA/MUSEOS/METRO,676972,Fabiana,,Recoleta,-34.59101,-58.39455,Entire home/apt,1443,4,236,2019-09-27,1.93,11,149
140271,"Boedo, quiet wooded neighborhood",683383,Lorena,,Boedo,-34.63366,-58.41691,Private room,4810,1,0,,,1,365
143173,HabitacionPrivate Rooms in Congreso,499278,Nicolas,,Balvanera,-34.60929,-58.4031,Private room,2887,5,0,,,2,365
143211,Nice and bright studio in Recoleta,695054,Patricia,,Recoleta,-34.5872,-58.40052,Entire home/apt,2405,2,3,2019-10-14,0.05,3,180
143663,Apartement Buenos Aires,696693,Marcela,,Monserrat,-34.61428,-58.3865,Entire home/apt,4329,3,0,,,1,362
144192,Beautiful apartment in Buenos Aires,698994,Ruben,,Nueva Pompeya,-34.64892,-58.41005,Private room,4810,1,0,,,1,365
144827,LEMON TREE ★ 1 bedroom with great views,319901,Ralf,,Recoleta,-34.59491,-58.40497,Entire home/apt,2886,4,45,2019-02-24,0.38,27,348
146648,❤  Amazing Sunset View Studio +Balcony❤Pool -Gym,319901,Ralf,,Recoleta,-34.59452,-58.40505,Entire home/apt,2598,4,102,2020-01-07,1.06,27,365
148284,Sunny Terrace Apart. in Downtown BA,407702,Ruy,,Monserrat,-34.61331,-58.38491,Entire home/apt,3175,1,268,2019-12-02,2.21,7,365
150594,Departamento Parque chacabuco,716702,Eugenia,,Parque Chacabuco,-34.63439,-58.44441,Private room,15891,7,0,,,1,365
154427,Spotless apt. in a Great location. 100% Equipped.,426566,Egle,,Almagro,-34.62053,-58.41653,Entire home/apt,1249,4,59,2019-07-02,0.50,8,304
154430,"Loft Style, modern,bright &spacious",742738,Martin,,Palermo,-34.59387,-58.41445,Entire home/apt,1251,30,2,2012-01-10,1.22,4,319
154767,Central location/2min from Metro -  Fast WiFi,426566,Egle,,Almagro,-34.6202,-58.41543,Entire home/apt,1249,5,36,2020-02-26,0.31,8,81
156189,Cute Apartment - WiFi & Pool !!,750896,Ariel,,Almagro,-34.60342,-58.42959,Entire home/apt,5772,14,0,,,4,365
158056,PalermoSoho Excellent Location! steps from LaRural,758728,Mauricio,,Palermo,-34.58207,-58.42094,Entire home/apt,2790,5,54,2020-02-07,0.58,10,365
159585,Apartment in Recoleta Juncal 2200,772165,Jorge,,Recoleta,-34.59316,-58.40053,Entire home/apt,2309,3,12,2014-11-30,0.10,1,365
160611,Habitación en Las Cañitas,769336,Natalia,,Palermo,-34.56526,-58.4334,Private room,17865,1,8,2017-05-27,0.15,1,365
161463,The Boss- 2 bedroom with balcony,319901,Ralf,,Palermo,-34.58101,-58.42503,Entire home/apt,6666,3,145,2021-02-26,1.50,27,303
168298,Boutique Central Apt in BuenosAires,802023,Ana,,Balvanera,-34.60554,-58.3938,Entire home/apt,5772,3,18,2016-09-04,0.16,1,365
172118,Owner Featured on HGTV- Spacious Palermo Soho Loft,791090,Jamais,,Palermo,-34.58735,-58.42186,Entire home/apt,7600,3,68,2019-12-02,0.72,1,173
172135,Recoleta full equipped Apartment,523775,Silvia  Diana,,Recoleta,-34.58983,-58.39786,Entire home/apt,4811,3,62,2019-08-15,0.52,1,179
176318,San Telmo Vintage - Art Experience Fully Renovated,843196,Ivan,,Monserrat,-34.6156,-58.36843,Entire home/apt,4521,4,154,2020-01-26,1.45,1,351
178330,"3 Bedrooms / 2 Bathroom, Off & Ldy Apt in Palermo",853184,Juan,,Palermo,-34.58712,-58.42184,Entire home/apt,3463,20,3,2021-06-19,0.59,3,289
180692,Tango and Enjoyment of Buenos Aires,865765,Hector,,Villa Urquiza,-34.57624,-58.48314,Private room,6734,5,0,,,1,365
181627,RENT APP ARTS,870611,Pablo,,Palermo,-34.5845,-58.41291,Private room,12507,30,0,,,1,365
183454,Lovely & Modern Apartment in Palerm,878481,Silvia,,Palermo,-34.58335,-58.40969,Entire home/apt,3367,7,21,2017-11-07,0.20,2,259
186005,Modern apartment in Downtown Buenos Aires,893209,Victoria,,Retiro,-34.59804,-58.37688,Entire home/apt,3848,4,47,2016-10-14,0.42,3,365
189224,Double Room,906438,Mariel,,Monserrat,-34.61375,-58.38604,Private room,2886,3,0,,,3,364
189572,Departamento de 2 ambientes en recoleta,914563,Carlos,,Recoleta,-34.58742,-58.38437,Entire home/apt,2886,2,9,2019-04-01,0.29,2,89
189867,♫ ♫ Harmony  - One-bedroom apartment,319901,Ralf,,Recoleta,-34.5949,-58.40338,Entire home/apt,4811,10,54,2020-11-29,0.49,27,362
190829,Green Room,906438,Mariel,,Monserrat,-34.61375,-58.38604,Private room,3559,3,5,2011-12-31,0.04,3,364
190830,Blue Room,906438,Mariel,,Monserrat,-34.61375,-58.38604,Private room,2886,3,3,2013-01-17,0.03,3,365
190988,Beautiful apartment in Las Cañitas,320183,Hortensia,,Palermo,-34.57133,-58.42975,Entire home/apt,6734,14,24,2019-12-03,0.27,4,365
191056,"Big sunny, central Studio",923804,Annatina Luck,,Monserrat,-34.61308,-58.38862,Entire home/apt,2597,10,11,2019-11-12,0.10,1,365
192259,DONDE VIVI (2) Room for Rent/ Habitacion.,645495,Viviana,,Almagro,-34.60589,-58.42091,Private room,898,3,39,2018-02-07,0.35,2,363
192468,Beautiful Flat in the Sky of Bs.As.,864084,Leandro Ezequiel,,Puerto Madero,-34.61151,-58.362,Entire home/apt,79500,20,38,2020-01-05,0.71,1,213
194232,"Great Loft, Best Location (Palermo)",943202,Rocío,,Palermo,-34.57594,-58.4346,Entire home/apt,3367,5,73,2017-08-31,0.67,1,178
196386,"Stylish, Top Location, Doorman & Balcony",956144,Alfredo,,Recoleta,-34.59149,-58.39158,Entire home/apt,6254,2,3,2019-11-15,0.06,2,88
